englishURN,collection,volumeNumber,bookNumber,bookName,babNumber,babName,hadithNumber,hadithText,bookID,grade1,grade2,comments,ourHadithNumber,matchingArabicURN,last_updated
120,bukhari,1,2,Belief,,,13,"
<p>

     Narrated Anas:
<p>

     The Prophet said, ""None of you will have faith till he wishes for his 
     (Muslim) brother what he likes for himself.""
<p>


",2.0,,,,6,100130,2012-04-26 07:00:00
130,bukhari,1,2,Belief,,,14,"
<p>

     Narrated Abu Huraira:
<p>

     ""Allah's Apostle said, ""By Him in Whose Hands my life is, none of you 
     will have faith till he loves me more than his father and his 
     children.""
<p>


",2.0,,,,7,100140,2012-04-26 07:00:00
140,bukhari,1,2,Belief,,,15,"
<p>

     Narrated Anas:
<p>

     The Prophet said ""None of you will have faith till he loves me more 
     than his father, his children and all mankind.""
<p>


",2.0,,,,8,100150,2012-04-26 07:00:00
150,bukhari,1,2,Belief,,,16,"
<p>

     Narrated Anas:
<p>

     The Prophet said, ""Whoever possesses the following three qualities 
     will have the sweetness (delight) of faith:
<p>

     1. The one to whom Allah and His Apostle becomes dearer than anything 
     else.
<p>

     2. Who loves a person and he loves him only for Allah's sake.
<p>

     3. Who hates to revert to Atheism (disbelief) as he hates to be thrown
     into the fire.""
<p>


",2.0,,,,9,100160,2012-04-26 07:00:00
160,bukhari,1,2,Belief,,,17,"
<p>

     Narrated Anas:
<p>

     The Prophet said, ""Love for the Ansar is a sign of faith and hatred 
     for the Ansar is a sign of hypocrisy.""
<p>


",2.0,,,,10,100170,2012-04-26 07:00:00
170,bukhari,1,2,Belief,,,18,"
<p>

     Narrated 'Ubada bin As-Samit:
<p>

     who took part in the battle of Badr and was a Naqib (a person heading 
     a group of six persons), on the night of Al-'Aqaba pledge: Allah's 
     Apostle said while a group of his companions were around him, ""Swear 
     allegiance to me for:
<p>

     1. Not to join anything in worship along with Allah.
<p>

     2. Not to steal.
<p>

     3. Not to commit illegal sexual intercourse.
<p>

     4. Not to kill your children.
<p>

     5. Not to accuse an innocent person (to spread such an accusation 
     among people).
<p>

     6. Not to be disobedient (when ordered) to do good deed.""
<p>

     The Prophet added: ""Whoever among you fulfills his pledge will be 
     rewarded by Allah. And whoever indulges in any one of them (except the
     ascription of partners to Allah) and gets the punishment in this 
     world, that punishment will be an expiation for that sin. And if one 
     indulges in any of them, and Allah conceals his sin, it is up to Him 
     to forgive or punish him (in the Hereafter)."" 'Ubada bin As-Samit 
     added: ""So we swore allegiance for these."" (points to Allah's 
     Apostle)
<p>


",2.0,,,,11,100180,2012-04-26 07:00:00
180,bukhari,1,2,Belief,,,19,"<p>

     Narrated Abu Said Al-Khudri:
<p>

     Allah's Apostle said, ""A time will soon come when the best property of a Muslim will be sheep which he will take on the top of mountains and the places of rainfall (valleys) so as to flee with his religion from afflictions.""
<p>


",2.0,,,,12,100190,2015-01-08 13:35:16
190,bukhari,1,2,Belief,,,20,"<p>

     Narrated 'Aisha:
<p>

     Whenever Allah's Apostle ordered the Muslims to do something, he used 
     to order them deeds which were easy for them to do, (according to 
     their strength and endurance). They said, ""O Allah's Apostle! We are not 
     like you. Allah  has forgiven your past and future sins."" So Allah's 
     Apostle became angry and it was apparent on his face. He said, ""I am 
     the most Allah fearing, and know Allah better than all of you do.""
<p>


",2.0,,,,13,100200,2013-02-18 13:21:43
200,bukhari,1,2,Belief,,,21,"
<p>

     Narrated Anas:
<p>

     The Prophet said, ""Whoever possesses the following three qualities 
     will taste the sweetness of faith:
<p>

     1. The one to whom Allah and His Apostle become dearer than anything 
     else.
<p>

     2. Who loves a person and he loves him only for Allah's sake.
<p>

     3. Who hates to revert to disbelief (Atheism) after Allah has brought 
     (saved) him out from it, as he hates to be thrown in fire.""
<p>


",2.0,,,,14,100210,2012-04-26 07:00:00
210,bukhari,1,2,Belief,,,22,"
<p>

     Narrated Abu Said Al-Khudri:
<p>

     The Prophet said, ""When the people of Paradise will enter Paradise and
     the people of Hell will go to Hell, Allah will order those who have 
     had faith equal to the weight of a grain of mustard seed to be taken 
     out from Hell. So they will be taken out but (by then) they will be 
     blackened (charred). Then they will be put in the river of Haya' 
     (rain) or Hayat (life) (the Narrator is in doubt as to which is the 
     right term), and they will revive like a grain that grows near the 
     bank of a flood channel. Don't you see that it comes out yellow and 
     twisted""
<p>


",2.0,,,,15,100220,2012-04-26 07:00:00
220,bukhari,1,2,Belief,,,23,"
<p>

     Narrated Abu Said Al-Khudri:
<p>

     Allah's Apostle said, ""While I was sleeping I saw (in a dream) some 
     people wearing shirts of which some were reaching up to the breasts 
     only while others were even shorter than that. Umar bin Al-Khattab was
     shown wearing a shirt that he was dragging."" The people asked, ""How 
     did you interpret it? (What is its interpretation) O Allah's Apostle?""
     He (the Prophet ) replied, ""It is the Religion.""
<p>


",2.0,,,,16,100230,2012-04-26 07:00:00
230,bukhari,1,2,Belief,,,24,"<p>

     Narrated 'Abdullah (bin 'Umar):
<p>

     Once Allah's Apostle passed by an Ansari (man) who was admonishing
     his brother regarding Haya'. On that Allah's Apostle said, ""Leave him 
     as Haya' is a part of faith."" (See <a href=""/bukhari/2/2"">Hadith 9</a>)
<p>


",2.0,,,,17,100240,2015-05-28 10:55:51
240,bukhari,1,2,Belief,,,25,"
<p>

     Narrated Ibn 'Umar:
<p>

     Allah's Apostle said: ""I have been ordered (by Allah) to fight against
     the people until they testify that none has the right to be worshipped
     but Allah and that Muhammad is Allah's Apostle, and offer the prayers 
     perfectly and give the obligatory charity, so if they perform that, 
     then they save their lives and property from me except for Islamic laws
     and then their reckoning (accounts) will be done by Allah.""
<p>


",2.0,,,,18,100250,2012-04-26 07:00:00
250,bukhari,1,2,Belief,,,26,"
<p>

     Narrated Abu Huraira:
<p>

     Allah's Apostle was asked, ""What is the best deed?"" He replied, ""To 
     believe in Allah and His Apostle (Muhammad). The questioner then 
     asked, ""What is the next (in goodness)? He replied, ""To participate in
     Jihad (religious fighting) in Allah's Cause."" The questioner again 
     asked, ""What is the next (in goodness)?"" He replied, ""To perform Hajj 
     (Pilgrim age to Mecca) 'Mubrur, (which is accepted by Allah and is 
     performed with the intention of seeking Allah's pleasure only and not 
     to show off and without committing a sin and in accordance with the 
     traditions of the Prophet).""
<p>


",2.0,,,,19,100260,2012-04-26 07:00:00
260,bukhari,1,2,Belief,,,27,"
<p>

     Narrated Sa'd:
<p>

     Allah's Apostle distributed (Zakat) amongst (a group of) people while 
     I was sitting there but Allah's Apostle left a man whom I thought the 
     best of the lot. I asked, ""O Allah's Apostle! Why have you left that 
     person? By Allah I regard him as a faithful believer."" The Prophet 
     commented: ""Or merely a Muslim."" I remained quiet for a while, but 
     could not help repeating my question because of what I knew about him.
     And then asked Allah's Apostle, ""Why have you left so and so? By 
     Allah! He is a faithful believer."" The Prophet again said, ""Or merely 
     a Muslim."" And I could not help repeating my question because of what 
     I knew about him. Then the Prophet said, ""O Sa'd! I give to a person 
     while another is dearer to me, for fear that he might be thrown on his
     face in the Fire by Allah.""
<p>


",2.0,,,,20,100270,2012-04-26 07:00:00
270,bukhari,1,2,Belief,,,28,"
<p>

     Narrated 'Abdullah bin 'Amr:
<p>

     A person asked Allah's Apostle . ""What (sort of) deeds in or (what 
     qualities of) Islam are good?"" He replied, ""To feed (the poor) and 
     greet those whom you know and those whom you don't know.""
<p>


",2.0,,,,21,100280,2012-04-26 07:00:00
280,bukhari,1,2,Belief,,,29,"
<p>

     Narrated Ibn 'Abbas:
<p>

     The Prophet said: ""I was shown the Hell-fire and that the majority of 
     its dwellers were women who were ungrateful."" It was asked, ""Do they 
     disbelieve in Allah?"" (or are they ungrateful to Allah?) He replied, 
     ""They are ungrateful to their husbands and are ungrateful for the 
     favors and the good (charitable deeds) done to them. If you have 
     always been good (benevolent) to one of them and then she sees 
     something in you (not of her liking), she will say, 'I have never 
     received any good from you.""
<p>


",2.0,,,,22,100290,2012-04-26 07:00:00
290,bukhari,1,2,Belief,,,30,"
<p>

     Narrated Al-Ma'rur:
<p>

     At Ar-Rabadha I met Abu Dhar who was wearing a cloak, and his slave, 
     too, was wearing a similar one. I asked about the reason for it. He 
     replied, ""I abused a person by calling his mother with bad names."" The
     Prophet said to me, 'O Abu Dhar! Did you abuse him by calling his 
     mother with bad names You still have some characteristics of 
     ignorance. Your slaves are your brothers and Allah has put them under 
     your command. So whoever has a brother under his command should feed 
     him of what he eats and dress him of what he wears. Do not ask them 
     (slaves) to do things beyond their capacity (power) and if you do so, 
     then help them.' ""
<p>


",2.0,,,,23,100300,2012-04-26 07:00:00
300,bukhari,1,2,Belief,,,31,"
<p>

     Narrated Al-Ahnaf bin Qais:
<p>

     While I was going to help this man ('Ali Ibn Abi Talib), Abu Bakra met
     me and asked, ""Where are you going?"" I replied, ""I am going to help 
     that person."" He said, ""Go back for I have heard Allah's Apostle 
     saying, 'When two Muslims fight (meet) each other with their swords, 
     both the murderer as well as the murdered will go to the Hell-fire.' I
     said, 'O Allah's Apostle! It is all right for the murderer but what 
     about the murdered one?' Allah's Apostle replied, ""He surely had the 
     intention to kill his companion.""
<p>


",2.0,,,,24,100310,2012-04-26 07:00:00
310,bukhari,1,2,Belief,,,32,"
<p>

     Narrated 'Abdullah:
<p>

     When the following Verse was revealed: ""It is those who believe and 
     confuse not their belief with wrong (worshipping others besides 
     Allah.)"" (6:83), the companions of Allah's Apostle asked, ""Who is 
     amongst us who had not done injustice (wrong)?"" Allah revealed: ""No 
     doubt, joining others in worship with Allah is a great injustice 
     (wrong) indeed."" (31.13)
<p>


",2.0,,,,25,100320,2012-04-26 07:00:00
320,bukhari,1,2,Belief,,,33,"
<p>

     Narrated Abu Huraira:
<p>

     The Prophet said, ""The signs of a hypocrite are three:
<p>

     1. Whenever he speaks, he tells a lie.
<p>

     2. Whenever he promises, he always breaks it (his promise ).
<p>

     3. If you trust him, he proves to be dishonest. (If you keep something
     as a trust with him, he will not return it.)""
<p>


",2.0,,,,26,100330,2012-04-26 07:00:00
330,bukhari,1,2,Belief,,,34,"
<p>

     Narrated 'Abdullah bin 'Amr:
<p>

     The Prophet said, ""Whoever has the following four (characteristics) 
     will be a pure hypocrite and whoever has one of the following four 
     characteristics will have one characteristic of hypocrisy unless and 
     until he gives it up.
<p>

     1. Whenever he is entrusted, he betrays.
<p>

     2. Whenever he speaks, he tells a lie.
<p>

     3. Whenever he makes a covenant, he proves treacherous.
<p>

     4. Whenever he quarrels, he behaves in a very imprudent, evil and 
     insulting manner.""
<p>


",2.0,,,,27,100340,2012-04-26 07:00:00
340,bukhari,1,2,Belief,,,35,"
<p>

     Narrated Abu Huraira:
<p>

     Allah's Apostle said, ""Whoever establishes the prayers on the night of
     Qadr out of sincere faith and hoping to attain Allah's rewards (not to
     show off) then all his past sins will be forgiven.""
<p>


",2.0,,,,28,100350,2012-04-26 07:00:00
350,bukhari,1,2,Belief,,,36,"
<p>

     Narrated Abu Huraira:
<p>

     The Prophet said, ""The person who participates in (Holy battles) in 
     Allah's cause and nothing compels him to do so except belief in Allah 
     and His Apostles, will be recompensed by Allah either with a reward, 
     or booty (if he survives) or will be admitted to Paradise (if he is 
     killed in the battle as a martyr). Had I not found it difficult for my
     followers, then I would not remain behind any sariya going for Jihad 
     and I would have loved to be martyred in Allah's cause and then made 
     alive, and then martyred and then made alive, and then again martyred 
     in His cause.""
<p>


",2.0,,,,29,100360,2012-04-26 07:00:00
360,bukhari,1,2,Belief,,,37,"
<p>

     Narrated Abu Huraira:
<p>

     Allah's Apostle said: ""Whoever establishes prayers during the nights 
     of Ramadan faithfully out of sincere faith and hoping to attain 
     Allah's rewards (not for showing off), all his past sins will be 
     forgiven.""
<p>


",2.0,,,,30,100370,2012-04-26 07:00:00
370,bukhari,1,2,Belief,,,38,"
<p>

     Narrated Abu Huraira:
<p>

     Allah's Apostle said, ""Whoever observes fasts during the month of 
     Ramadan out of sincere faith, and hoping to attain Allah's rewards, 
     then all his past sins will be forgiven.""
<p>


",2.0,,,,31,100380,2012-04-26 07:00:00
380,bukhari,1,2,Belief,,,39,"<p>

     Narrated Abu Huraira:
<p>

     The Prophet said, ""Religion is very easy and whoever overburdens 
     himself in his religion will not be able to continue in that way. So 
     you should not be extremists, but try to be near to perfection and 
     receive the good tidings that you will be rewarded; and gain strength 
     by worshipping in the mornings, the afternoons, and during the last hours of the nights."" (See Fath-ul-Bari, Page 
     102, Vol 1).
<p>


",2.0,,,,32,100390,2015-02-05 08:54:13
390,bukhari,1,2,Belief,,,40,"
<p>

     Narrated Al-Bara' (bin 'Azib):
<p>

     When the Prophet came to Medina, he stayed first with his grandfathers
     or maternal uncles from Ansar. He offered his prayers facing 
     Baitul-Maqdis (Jerusalem) for sixteen or seventeen months, but he 
     wished that he could pray facing the Ka'ba (at Mecca). The first 
     prayer which he offered facing the Ka'ba was the 'Asr prayer in the 
     company of some people. Then one of those who had offered that prayer 
     with him came out and passed by some people in a mosque who were 
     bowing during their prayers (facing Jerusalem). He said addressing 
     them, ""By Allah, I testify that I have prayed with Allah's Apostle 
     facing Mecca (Ka'ba).' Hearing that, those people changed their 
     direction towards the Ka'ba immediately. Jews and the people of the 
     scriptures used to be pleased to see the Prophet facing Jerusalem in 
     prayers but when he changed his direction towards the Ka'ba, during 
     the prayers, they disapproved of it.
<p>

     Al-Bara' added, ""Before we changed our direction towards the Ka'ba 
     (Mecca) in prayers, some Muslims had died or had been killed and we 
     did not know what to say about them (regarding their prayers.) Allah 
     then revealed: And Allah would never make your faith (prayers) to be 
     lost (i.e. the prayers of those Muslims were valid).' "" (2:143).
<p>


",2.0,,,,33,100400,2012-04-26 07:00:00
400,bukhari,1,2,Belief,,,41,"
<p>

     Narrated Abu Huraira:
<p>

     Allah's Apostle said, ""If any one of you improve (follows strictly) 
     his Islamic religion then his good deeds will be rewarded ten times to
     seven hundred times for each good deed and a bad deed will be recorded
     as it is.""
<p>


",2.0,,,,35,100420,2012-04-26 07:00:00
410,bukhari,1,2,Belief,,,42,"
<p>

     Narrated 'Aisha:
<p>

     Once the Prophet came while a woman was sitting with me. He said, ""Who
     is she?"" I replied, ""She is so and so,"" and told him about her 
     (excessive) praying. He said disapprovingly, ""Do (good) deeds which is
     within your capacity (without being overtaxed) as Allah does not get 
     tired (of giving rewards) but (surely) you will get tired and the best
     deed (act of Worship) in the sight of Allah is that which is done 
     regularly.""
<p>


",2.0,,,,36,100430,2012-04-26 07:00:00
420,bukhari,1,2,Belief,,,43,"
<p>

     Narrated Anas:
<p>

     The Prophet said, ""Whoever said ""None has the right to be worshipped 
     but Allah and has in his heart good (faith) equal to the weight of a 
     barley grain will be taken out of Hell. And whoever said: ""None has 
     the right to be worshipped but Allah and has in his heart good (faith)
     equal to the weight of a wheat grain will be taken out of Hell. And 
     whoever said, ""None has the right to be worshipped but Allah and has 
     in his heart good (faith) equal to the weight of an atom will be taken
     out of Hell.""
<p>


",2.0,,,,37,100440,2012-04-26 07:00:00
430,bukhari,1,2,Belief,,,44,"
<p>

     Narrated 'Umar bin Al-Khattab:
<p>

     Once a Jew said to me, ""O the chief of believers! There is a verse in 
     your Holy Book Which is read by all of you (Muslims), and had it been 
     revealed to us, we would have taken that day (on which it was revealed
     as a day of celebration."" 'Umar bin Al-Khattab asked, ""Which is that 
     verse?"" The Jew replied, ""This day I have perfected your religion For 
     you, completed My favor upon you, And have chosen for you Islam as 
     your religion."" (5:3) 'Umar replied,""No doubt, we know when and where 
     this verse was revealed to the Prophet. It was Friday and the Prophet 
     was standing at 'Arafat (i.e. the Day of Hajj)""
<p>


",2.0,,,,38,100450,2012-04-26 07:00:00
